Name,Rating,Country,Category,Price,ABV,Age,Brand,Rating_impute,Price_impute,ABV_impute,Age_impute
Wild Turkey 81 Bourbon Whiskey,81.0,USA,Bourbon,17.0,41.0,8.0,Wild Turkey,0.0,0.0,0.0,0.0
The Irishman Single Malt Whiskey,81.0,Ireland,Single Malt,50.0,40.0,10.0,The Irishman,0.0,0.0,0.0,0.0
Collingwood Hand-Crafted Blended Canadian Whisky,81.0,Canada,Blended,28.0,40.0,1.0,Collingwood,0.0,0.0,0.0,0.0
Old Forester Straight Bourbon 86 Proof,81.0,USA,Bourbon,19.0,43.0,4.0,Old Forester,0.0,0.0,0.0,0.0
Canadian Mist Black Diamond Canadian Whiskey,80.0,Canada,Rye,16.0,43.0,1.0,Canadian Mist,0.0,0.0,0.0,0.0
Isle of Jura 16 Year Old Single Malt Scotch Whisky,80.0,Scotland,Islands,67.7032967032967,43.0,16.0,Isle of Jura,0.0,1.0,0.0,0.0
Evan Williams 1999 Vintage Bourbon Whiskey,80.0,USA,Bourbon,25.0,43.0,12.0,Evan Williams,0.0,0.0,0.0,0.0
Booker's True Barrel Bourbon,80.0,USA,Bourbon,60.0,62.0,7.0,Booker's,0.0,0.0,0.0,0.0
Amrut Peated Indian Single Malt Whiskey Cask Strength,80.0,India,Single Malt,85.0,62.8,1.0,Amrut,0.0,0.0,0.0,0.0
Basil Hayden's 8 Year Old Bourbon Whiskey,80.0,USA,Bourbon,36.0,40.0,8.0,Basil Hayden,0.0,0.0,0.0,0.0
Bushmills Black Bush Irish Whiskey,79.0,Ireland,Blended,32.0,40.0,11.0,Bushmills,0.0,0.0,0.0,0.0
Hudson Manhattan Rye,79.0,USA,Rye,41.0,46.0,1.0,Hudson,0.0,0.0,0.0,0.0
George Dickel Barrel Select Tennessee Whiskey,79.0,USA,Corn,26.0,43.0,12.0,George Dickel,0.0,0.0,0.0,0.0
Royal Canadian Small Batch Canadian Whisky,79.0,Canada,Blended,27.0,40.0,1.0,Royal Canadian,0.0,0.0,0.0,0.0
Sazerac 18 Year Old Kentucky Straight Rye Whiskey,78.0,USA,Rye,75.0,45.0,18.0,Sazerac,0.0,0.0,0.0,0.0
Grant's Family Reserve Blended Scotch Whisky,78.0,Scotland,Blended,17.0,40.0,1.0,William Grant & Sons,0.0,0.0,0.0,0.0
Johnnie Walker Gold Label Blended Scotch Whisky,78.0,Scotland,Blended,73.0,40.0,18.0,Johnnie Walker,0.0,0.0,0.0,0.0
Connemara Cask Strength Peated Single Malt Irish Whiskey,78.0,Ireland,Single Malt,65.0,58.0,1.0,Connemara,0.0,0.0,0.0,0.0
"Glen Breton ""Battle of the Glen"" 15 Year Old Single Malt Canadian Whisky",77.0,Canada,Single Malt,35.0,43.0,15.0,Glenora,0.0,0.0,0.0,0.0
Michael Collins Blended Irish Whiskey,77.0,Ireland,Blended,28.0,40.0,12.0,Michael Collins,0.0,0.0,0.0,0.0
Penderyn Single Malt Welsh Whisky,77.0,England,Single Malt,70.0,46.0,1.0,Penderyn,0.0,0.0,0.0,0.0
Balvenie Madeira Cask 17 Year Old Single Malt Scotch Whisky,77.0,Scotland,Speyside,179.0,43.0,17.0,Balvenie,0.0,0.0,0.0,0.0
Wild Turkey Bourbon 101,77.0,USA,Bourbon,20.0,50.0,8.0,Wild Turkey,0.0,0.0,0.0,0.0
Wasmund's Copper Fox Rye Whisky,76.0,USA,Rye,46.0,45.0,1.0,Copper Fox,0.0,0.0,0.0,0.0
Baker's Kentucky Straight Bourbon Whiskey,76.0,USA,Bourbon,38.0,53.0,7.0,Jim Beam,0.0,0.0,0.0,0.0
Amrut Indian Single Malt Whisky,76.0,India,Single Malt,36.0,46.0,1.0,Amrut,0.0,0.0,0.0,0.0
Amrut Peated Indian Single Malt Whisky,76.0,India,Single Malt,70.0,46.0,1.0,Amrut,0.0,0.0,0.0,0.0
Early Times 354 Bourbon,76.0,USA,Bourbon,16.0,40.0,1.0,Early Times,0.0,0.0,0.0,0.0
Johnnie Walker Green Label Scotch Whisky,76.0,Scotland,Blended,45.0,44.438534798534796,15.0,Johnnie Walker,0.0,0.0,1.0,0.0
Glen Breton Rare 10 Year Old Single Malt Canadian Whisky,75.0,Canada,Single Malt,85.0,43.0,10.0,Glen Breton,0.0,0.0,0.0,0.0
Bushmills 1608 Irish Whiskey Limited Edition,74.0,Ireland,Blended,90.0,46.0,1.0,Bushmills,0.0,0.0,0.0,0.0
Michael Collins Single Malt Irish Whiskey,74.0,Ireland,Single Malt,40.0,40.0,10.0,Wiser's,0.0,0.0,0.0,0.0
Wiser's Legacy Canadian Whisky,74.0,Canada,Blended,50.0,45.0,1.0,Wiser's,0.0,0.0,0.0,0.0
"Whyte & Mackay ""Old Luxury"" 19 Year Old Aged Blended Scotch Whisky",74.0,Scotland,Blended,58.0,40.0,19.0,Whyte & Mackay,0.0,0.0,0.0,0.0
Jameson 18 Year Old Limited Reserve Irish Whiskey,73.0,Ireland,Blended,84.0,40.0,18.0,Jameson,0.0,0.0,0.0,0.0
Connemara 12 Year Old Peated Single Malt Irish Whiskey,73.0,Ireland,Single Malt,90.0,40.0,12.0,Connemara,0.0,0.0,0.0,0.0
Ardmore Traditional Cask Highland Single Malt Scotch Whisky,72.0,Scotland,Speyside,48.0,46.0,30.0,Ardmore,0.0,0.0,0.0,0.0
Canadian Club Sherry Cask Canadian Whisky,71.0,Canada,Blended,27.0,40.0,8.0,Canadian Club,0.0,0.0,0.0,0.0
Greenore 8 Year Old Single Grain Irish Whiskey,71.0,Ireland,Grain,50.0,43.0,8.0,Greenore,0.0,0.0,0.0,0.0
Johnnie Walker Black Label Scotch Whisky,70.0,Scotland,Blended,45.0,43.0,12.0,Johnnie Walker,0.0,0.0,0.0,0.0
Tullamore Dew Irish Whiskey,70.0,Ireland,Blended,26.0,40.0,1.0,Tullamore,0.0,0.0,0.0,0.0
Forty Creek Barrel Select Canadian Whiskey,69.0,Canada,Blended,23.0,40.0,1.0,Forty Creek,0.0,0.0,0.0,0.0
Canadian Club Classic 12 Canadian Whisky,69.0,Canada,Blended,23.0,40.0,12.0,Canadian Club,0.0,0.0,0.0,0.0
Jim Beam Kentucky Straight Bourbon Whiskey,69.0,USA,Bourbon,15.0,40.0,4.0,Jim Beam,0.0,0.0,0.0,0.0
Sazerac Kentucky Straight Rye Whiskey,69.0,USA,Rye,27.0,45.0,6.0,Sazerac,0.0,0.0,0.0,0.0
Famous Grouse Blended Scotch Whisky,69.0,Scotland,Blended,20.0,40.0,1.0,Famous Grouse,0.0,0.0,0.0,0.0
Crown Royal Canadian Whisky,68.0,Canada,Blended,25.0,40.0,1.0,Crown Royal,0.0,0.0,0.0,0.0
Benchmark Old No. 8 Kentucky Straight Bourbon Whiskey,68.0,USA,Bourbon,12.0,40.0,1.0,Benchmark,0.0,0.0,0.0,0.0
Templeton Rye Whiskey,67.0,USA,Rye,35.0,40.0,4.0,Templeton,0.0,0.0,0.0,0.0
Dalwhinnie 15 Year Old Single Malt Scotch,67.0,Scotland,Highlands,50.0,43.0,15.0,Dalwhinnie,0.0,0.0,0.0,0.0
Forty Creek John K. Hall Small Batch Reserve Whisky,67.0,Canada,Blended,60.0,40.0,9.447272727272727,Forty Creek,0.0,0.0,0.0,1.0
Wiser's 18 Year Old Canadian Whisky,67.0,Canada,Blended,65.0,40.0,18.0,Wiser's,0.0,0.0,0.0,0.0
Black Velvet Reserve Canadian Whiskey,67.0,Canada,Blended,14.0,40.0,8.0,Black Velvet,0.0,0.0,0.0,0.0
Bushmills Original Irish Whiskey,65.0,Ireland,Blended,24.0,40.0,1.0,Bushmills,0.0,0.0,0.0,0.0
Jameson Irish Whiskey,65.0,Ireland,Blended,25.0,40.0,1.0,Jameson,0.0,0.0,0.0,0.0
8 Seconds Canadian Whiskey,64.0,Canada,Blended,30.0,40.0,1.0,8 Seconds,0.0,0.0,0.0,0.0
Feckin Irish Whiskey,64.0,Ireland,Blended,20.0,40.0,1.0,Feckin,0.0,0.0,0.0,0.0
Danfield's Private Reserve Small Batch Canaidan Whiskey,60.0,Canada,Blended,67.7032967032967,40.0,1.0,Danfield,0.0,1.0,0.0,0.0
Wiser's Small Batch Canadian Whisky,60.0,Canada,Rye,29.0,43.0,1.0,Wiser's,0.0,0.0,0.0,0.0
Johnnie Walker Red Label Whisky,58.0,Scotland,Blended,30.0,40.0,1.0,Johnnie Walker,0.0,0.0,0.0,0.0
Jim Beam Straight Rye Whiskey,57.0,USA,Rye,15.0,51.0,4.0,Jim Beam,0.0,0.0,0.0,0.0
Catoctin Creek Organic Roundstone Rye Whisky,57.0,USA,Rye,38.0,40.0,1.0,Catoctin Creek,0.0,0.0,0.0,0.0
Canadian Club Reserve Canadian Whisky,56.0,Canada,Blended,16.0,40.0,10.0,Canadian Club,0.0,0.0,0.0,0.0
Pendleton Blended Canadian Whisky,56.0,Canada,Blended,26.0,44.438534798534796,1.0,Hood River,0.0,0.0,1.0,0.0
Origine Irish Whiskey,54.0,Ireland,Blended,17.0,40.0,1.0,Origine,0.0,0.0,0.0,0.0
Jack Daniel's No. 7 Whiskey,54.0,USA,Blended,20.0,40.0,7.0,Jack Daniel's,0.0,0.0,0.0,0.0
Ellington Canadian Whisky,54.0,Canada,Blended,11.0,40.0,1.0,Ellington,0.0,0.0,0.0,0.0
Canadian Club 6 Year Old Canadian Whisky,53.0,Canada,Blended,12.0,40.0,6.0,Canadian Club,0.0,0.0,0.0,0.0
Slane Castle Irish Whiskey,50.0,Ireland,Blended,25.0,40.0,1.0,Slane Castle,0.0,0.0,0.0,0.0
Canadian Mist Blended Canadian Whisky,48.0,Canada,Blended,12.0,40.0,9.447272727272727,Canadian Mist,0.0,0.0,0.0,1.0
Kellan Irish Whiskey,47.0,Ireland,Blended,20.0,40.0,1.0,Kellan,0.0,0.0,0.0,0.0
Rich & Rare Canadian Whisky,47.0,Canada,Blended,10.0,40.0,1.0,Rich & Rare,0.0,0.0,0.0,0.0
Canadian LTD Blended Canadian Whiskey,43.0,Canada,Blended,10.0,40.0,1.0,Canadian LTD,0.0,0.0,0.0,0.0
Canadian Hunter Canadian Whisky,40.0,Canada,Blended,9.0,40.0,1.0,Canadian Hunter,0.0,0.0,0.0,0.0
Suntory Whiskey Hibiki,78.0,Japan,Blended,92.0,43.0,12.0,Suntory,0.0,0.0,0.0,0.0
McAdams Canadian Whisky,40.0,Canada,Blended,8.0,40.0,1.0,McAdams,0.0,0.0,0.0,0.0
Texas Crown Club Canadian Whisky,64.0,Canada,Blended,22.0,40.0,4.0,Texas Crown,0.0,0.0,0.0,0.0
Bunnahabhain 25,91.0,Scotland,Islay,292.0,46.3,25.0,Bunnahabhain,0.0,0.0,0.0,0.0
Glenlivet 18 Year Old Single Malt Scotch,79.0,Scotland,Speyside,67.7032967032967,57.0,18.0,Glenlivet,0.0,1.0,0.0,0.0
Bell's Scotch Whisky,82.0,Scotland,Blended,55.0,43.0,1.0,Bell's,0.0,0.0,0.0,0.0
Glengoyne 10 Year Old Single Malt Scotch,68.0,Scotland,Highlands,40.0,40.0,10.0,Glengoyne,0.0,0.0,0.0,0.0
The Tweeddale Blend,74.0,Scotland,Blended,30.0,46.0,12.0,Tweeddale,0.0,0.0,0.0,0.0
A.H. Hirsch Finest Reserve 20 Bourbon,90.0,USA,Bourbon,280.0,45.0,16.0,A.H. Hirsch,0.0,0.0,0.0,0.0
Elijah Craig 18 Year Bourbon,81.0,USA,Bourbon,40.0,45.0,18.0,Elijah Craig,0.0,0.0,0.0,0.0
Kavalan Solist Vinho Single Malt Whisky,87.0,Taiwan,Single Malt,100.0,59.2,1.0,Kavalan,0.0,0.0,0.0,0.0
